Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
5075 CONNAUGHT DR VANCOUVER V6M 3G2,"$6,933,000",4531000.00,2402000.00,2004.00,7182,$630.88
5087 CONNAUGHT DR VANCOUVER V6M 3G2,"$13,495,000",5777000.00,7718000.00,2015.00,13256,$435.80
1976 KING EDWARD AVE W VANCOUVER V6J 2W6,"$2,626,000",2523000.00,103000.00,1931.00,5760,$438.02
1976 KING EDWARD AVE W VANCOUVER V6J 2W6,"$2,626,000",2523000.00,103000.00,1931.00,5760,$438.02
4538 MARGUERITE ST VANCOUVER V6J 4G8,"$5,411,000",4147000.00,1264000.00,1995.00,7264,$570.90
4538 MARGUERITE ST VANCOUVER V6J 4G8,"$5,411,000",4147000.00,1264000.00,1995.00,7264,$570.90
4650 OSLER ST VANCOUVER V6H 2Y4,"$3,608,000",3148000.00,460000.00,1992.00,6000,$524.67
1023 CONNAUGHT DR VANCOUVER V6H 2G7,"$2,777,000",2331000.00,446000.00,1992.00,6468,$360.39
4649 OAK ST VANCOUVER V6H 2N7,"$2,408,200",2334000.00,74200.00,1928.00,6480,$360.19
1050 DEVONSHIRE CRES VANCOUVER V6H 2E8,"$4,064,000",3487000.00,577000.00,1990.00,7943.75,$438.96
1069 DEVONSHIRE CRES VANCOUVER V6H 2E7,"$4,276,000",3748000.00,528000.00,1992.00,8125,$461.29
4569 OAK ST VANCOUVER V6H 2N6,"$2,373,800",2334000.00,39800.00,1948.00,6480,$360.19
4810 OSLER ST VANCOUVER V6H 2Y7,"$5,498,000",3886000.00,1612000.00,2013.00,7800,$498.21
1030 CONNAUGHT DR VANCOUVER V6H 2G8,"$4,022,000",3694000.00,328000.00,1986.00,11111.75,$332.44
4763 OAK ST VANCOUVER V6H 2N8,"$2,264,200",2230000.00,34200.00,1926.00,5958,$374.29
4735 OAK ST VANCOUVER V6H 2N8,"$2,271,200",2230000.00,41200.00,1926.00,5970,$373.53
4569 OSLER ST VANCOUVER V6H 2Y2,"$4,845,000",3450000.00,1395000.00,2009.00,6250,$552.00
1156 DEVONSHIRE CRES VANCOUVER V6H 2G1,"$4,888,000",3154000.00,1734000.00,2020.00,5362.5,$588.16
1136 DEVONSHIRE CRES VANCOUVER V6H 2G1,"$3,318,000",3081000.00,237000.00,1924.00,5140,$599.42
4629 OSLER ST VANCOUVER V6H 2Y3,"$3,484,900",3450000.00,34900.00,1925.00,6250,$552.00
4669 OSLER ST VANCOUVER V6H 2Y3,"$5,089,000",3450000.00,1639000.00,2012.00,6250,$552.00
4777 OSLER ST VANCOUVER V6H 2Y5,"$4,881,000",3450000.00,1431000.00,2011.00,6250,$552.00
1159 32ND AVE W VANCOUVER V6H 2H8,"$5,502,000",4446000.00,1056000.00,2021.00,9409.62,$472.50
1159 32ND AVE W VANCOUVER V6H 2H8,"$5,502,000",4446000.00,1056000.00,2021.00,9409.62,$472.50
1188 32ND AVE W VANCOUVER V6H 2H9,"$5,357,000",3981000.00,1376000.00,1996.00,7648.58,$520.49
4788 SELKIRK ST VANCOUVER V6H 3A3,"$7,132,000",5164000.00,1968000.00,1997.00,11548,$447.18
4878 SELKIRK ST VANCOUVER V6H 3A3,"$6,524,000",4967000.00,1557000.00,1995.00,10614.02,$467.97
4849 SELKIRK ST VANCOUVER V6H 3A2,"$6,128,000",5314000.00,814000.00,1986.00,12249,$433.83
1008 CONNAUGHT DR VANCOUVER V6H 2G8,"$3,355,000",2232000.00,1123000.00,2009.00,5970,$373.87
1288 32ND AVE W VANCOUVER V6H 2J2,"$4,697,000",4561000.00,136000.00,1924.00,10266,$444.28
4850 HUDSON ST VANCOUVER V6H 3C2,"$5,565,000",4962000.00,603000.00,1988.00,10586.4,$468.71
4870 HUDSON ST VANCOUVER V6H 3C2,"$4,847,000",4694000.00,153000.00,1924.00,9250,$507.46
4737 SELKIRK ST VANCOUVER V6H 3A2,"$6,634,000",5043000.00,1591000.00,1995.00,11040.48,$456.77
1218 32ND AVE W VANCOUVER V6H 2J2,"$7,088,000",5028000.00,2060000.00,2002.00,14617,$343.98
1272 CONNAUGHT DR VANCOUVER V6H 2H2,"$5,558,000",5448000.00,110000.00,1922.00,10532.94,$517.23
1260 CONNAUGHT DR VANCOUVER V6H 2H2,"$6,229,000",5442000.00,787000.00,1987.00,10502.58,$518.16
1228 CONNAUGHT DR VANCOUVER V6H 2H2,"$5,525,000",5424000.00,101000.00,1922.00,10411.5,$520.96
1263 32ND AVE W VANCOUVER V6H 2J1,"$5,804,000",4833000.00,971000.00,1989.00,9900,$488.18
1271 32ND AVE W VANCOUVER V6H 2J1,"$7,404,000",4840000.00,2564000.00,2016.00,9933,$487.26
4676 HUDSON ST VANCOUVER V6H 3C1,"$9,242,000",4955000.00,4287000.00,2018.00,11094,$446.64
4616 GRANVILLE ST VANCOUVER V6H 3L9,"$3,790,800",3732000.00,58800.00,1950.00,14000,$266.57
1487 MINTO CRES VANCOUVER V6H 2J6,"$8,659,000",3983000.00,4676000.00,2018.00,16590,$240.08
1411 MINTO CRES VANCOUVER V6H 2J6,"$9,094,000",7691000.00,1403000.00,1990.00,17791,$432.30
1316 32ND AVE W VANCOUVER V6H 2J3,"$7,371,200",7300000.00,71200.00,1949.00,17224,$423.83
1316 32ND AVE W VANCOUVER V6H 2J3,"$7,371,200",7300000.00,71200.00,1949.00,17224,$423.83
4850 GRANVILLE ST VANCOUVER V6H 3M4,"$4,311,000",3902000.00,409000.00,1923.00,15750,$247.75
1438 MINTO CRES VANCOUVER V6H 2J5,"$8,044,000",7775000.00,269000.00,1930.00,18371.016,$423.22
1412 MINTO CRES VANCOUVER V6H 2J5,"$7,840,000",7224000.00,616000.00,1983.00,16740.3915,$431.53
4549 OAK ST VANCOUVER V6H 2N6,"$2,376,100",2334000.00,42100.00,1948.00,6480,$360.19
1129 DEVONSHIRE CRES VANCOUVER V6H 2E9,"$3,135,600",3061000.00,74600.00,1923.00,5087.5,$601.67
1350 CONNAUGHT DR VANCOUVER V6H 2H3,"$7,284,000",7101000.00,183000.00,1949.00,17972,$395.11
1039 29TH AVE W VANCOUVER V6H 2E4,"$3,964,000",3461000.00,503000.00,1988.00,7825,$442.30
4469 OAK ST VANCOUVER V6H 2N5,"$2,375,000",2334000.00,41000.00,1950.00,6480,$360.19
1010 NANTON AVE VANCOUVER V6H 2C2,"$3,399,000",2334000.00,1065000.00,2005.00,6480,$360.19
1089 NANTON AVE VANCOUVER V6H 2C3,"$4,282,000",3748000.00,534000.00,1990.00,8125,$461.29
4370 OSLER ST VANCOUVER V6H 2X7,"$3,419,300",3373000.00,46300.00,1925.00,6000,$562.17
4388 OSLER ST VANCOUVER V6H 2X7,"$6,984,000",3713000.00,3271000.00,2015.00,7200,$515.69
4450 OSLER ST VANCOUVER V6H 2X9,"$3,214,800",3148000.00,66800.00,1924.00,6000,$524.67
4470 OSLER ST VANCOUVER V6H 2X9,"$3,411,500",3373000.00,38500.00,1924.00,6000,$562.17
4490 OSLER ST VANCOUVER V6H 2X9,"$4,007,000",3713000.00,294000.00,1924.00,7200,$515.69
4349 OSLER ST VANCOUVER V6H 2X6,"$3,426,100",3348000.00,78100.00,1918.00,6750,$496.00
4369 OSLER ST VANCOUVER V6H 2X6,"$6,882,000",3587000.00,3295000.00,2016.00,6750,$531.41
4439 OSLER ST VANCOUVER V6H 2X8,"$3,506,000",3348000.00,158000.00,1925.00,6750,$496.00
4489 OSLER ST VANCOUVER V6H 2X8,"$5,171,000",3587000.00,1584000.00,2013.00,6750,$531.41
1178 NANTON AVE VANCOUVER V6H 2C5,"$3,706,000",3450000.00,256000.00,1923.00,6250,$552.00
1122 NANTON AVE VANCOUVER V6H 2C5,"$3,866,000",3450000.00,416000.00,1992.00,6250,$552.00
1221 NANTON AVE VANCOUVER V6H 2C7,"$7,525,000",4444000.00,3081000.00,2012.00,8250,$538.67
1250 NANTON AVE VANCOUVER V6H 2C6,"$6,075,000",4508000.00,1567000.00,1992.00,8502.12,$530.22
1255 DEVONSHIRE CRES VANCOUVER V6H 2G2,"$5,549,000",4892000.00,657000.00,1992.00,8263.86,$591.98
1388 DEVONSHIRE CRES VANCOUVER V6H 2G4,"$9,261,000",5326000.00,3935000.00,2016.00,12310,$432.66
1379 DEVONSHIRE CRES VANCOUVER V6H 2G3,"$5,715,000",4499000.00,1216000.00,1993.00,8465.0789,$531.48
1439 DEVONSHIRE CRES VANCOUVER V6H 2G5,"$4,308,000",4139000.00,169000.00,1931.00,7935,$521.61
1368 NANTON AVE VANCOUVER V6H 2C9,"$4,693,000",4590000.00,103000.00,1922.00,8819,$520.47
1362 NANTON AVE VANCOUVER V6H 2C9,"$4,830,000",4320000.00,510000.00,1988.00,7807.312,$553.33
1328 NANTON AVE VANCOUVER V6H 2C9,"$4,455,000",3973000.00,482000.00,1989.00,6705.6,$592.49
1462 DEVONSHIRE CRES VANCOUVER V6H 2G6,"$6,123,000",5890000.00,233000.00,1925.00,13916,$423.25
1411 CONNAUGHT DR VANCOUVER V6H 2H5,"$12,449,000",6962000.00,5487000.00,2006.00,17000.468,$409.52
1488 DEVONSHIRE CRES VANCOUVER V6H 2G6,"$3,394,000",3323000.00,71000.00,1953.00,10846.28,$306.37
4430 GRANVILLE ST VANCOUVER V6H 3L8,"$3,377,100",3323000.00,54100.00,1946.00,10846.28,$306.37
4450 GRANVILLE ST VANCOUVER V6H 3L8,"$3,382,700",3323000.00,59700.00,1946.00,10846.28,$306.37
1495 CONNAUGHT DR VANCOUVER V6H 2H5,"$5,833,000",3368000.00,2465000.00,2008.00,11161.172,$301.76
4530 OSLER ST VANCOUVER V6H 2Y1,"$4,359,000",3373000.00,986000.00,1996.00,6000,$562.17
1068 29TH AVE W VANCOUVER V6H 2E3,"$4,645,000",3471000.00,1174000.00,2005.00,7871.25,$440.97
1150 29TH AVE W VANCOUVER V6H 2E5,"$3,069,000",2965000.00,104000.00,1925.00,4831.479,$613.68
1110 29TH AVE W VANCOUVER V6H 2E5,"$3,503,300",3450000.00,53300.00,1934.00,6250,$552.00
1322 DEVONSHIRE CRES VANCOUVER V6H 2G4,"$6,269,000",4280000.00,1989000.00,2008.00,7675.5096,$557.62
4963 ANGUS DR VANCOUVER V6M 3M6,"$4,222,000",3510000.00,712000.00,1924.00,6820,$514.66
4921 ANGUS DR VANCOUVER V6M 3M6,"$3,378,000",3171000.00,207000.00,1928.00,5180,$612.16
4949 ANGUS DR VANCOUVER V6M 3M6,"$3,422,000",2988000.00,434000.00,1992.00,5108.8,$584.87
4935 ANGUS DR VANCOUVER V6M 3M6,"$3,419,000",2988000.00,431000.00,1991.00,5108.8,$584.87
1850 30TH AVE W VANCOUVER V6J 3A3,"$3,433,000",3168000.00,265000.00,1924.00,7878,$402.13
2027 35TH AVE W VANCOUVER V6M 1J1,"$7,717,000",5869000.00,1848000.00,2002.00,12114,$484.48
4539 ANGUS DR VANCOUVER V6J 4J4,"$5,315,000",5082000.00,233000.00,1921.00,11200,$453.75
5012 MAPLE ST VANCOUVER V6M 3T1,"$8,004,000",7994000.00,10000.00,1971.00,11350,$704.32
2095 35TH AVE W VANCOUVER V6M 1J1,"$5,535,000",3371000.00,2164000.00,2013.00,8374.64,$402.52
2085 35TH AVE W VANCOUVER V6M 1J1,"$5,248,000",4473000.00,775000.00,1992.00,6902.5,$648.03
3537 OAK ST VANCOUVER V6H 2M1,"$4,487,000",3592000.00,895000.00,1945.00,7920,$453.54
1068 LAURIER AVE VANCOUVER V6H 1Y3,"$9,512,000",5421000.00,4091000.00,2020.00,14994.7497,$361.53
1050 LAURIER AVE VANCOUVER V6H 1Y3,"$9,611,000",5440000.00,4171000.00,2015.00,15143.94,$359.22
3981 OAK ST VANCOUVER V6H 4H5,"$14,157,000",14096000.00,61000.00,1984.00,16370,$861.09
4037 OAK ST VANCOUVER V6H 2M7,"$12,388,500",12348000.00,40500.00,1951.00,14340,$861.09
1064 BALFOUR AVE VANCOUVER V6H 1X1,"$5,163,000",4843000.00,320000.00,1911.00,20191.6,$239.85
3837 OAK ST VANCOUVER V6H 2M6,"$6,955,000",5750000.00,1205000.00,1946.00,6298.8,$912.87
1051 LAURIER AVE VANCOUVER V6H 1Y2,"$4,707,000",4605000.00,102000.00,1922.00,18525,$248.58
1138 BALFOUR AVE VANCOUVER V6H 1X4,"$9,608,000",8237000.00,1371000.00,1994.00,19476.476,$422.92
1169 LAURIER AVE VANCOUVER V6H 1Y4,"$7,962,000",7825000.00,137000.00,1966.00,16998.5494,$460.33
1179 LAURIER AVE VANCOUVER V6H 1Y4,"$8,950,000",7169000.00,1781000.00,1996.00,13421.7004,$534.14
3591 OAK ST VANCOUVER V6H 2M1,"$16,266,000",16166000.00,100000.00,1928.00,15840,"$1,020.58"
3591 OAK ST VANCOUVER V6H 2M1,"$16,266,000",16166000.00,100000.00,1928.00,15840,"$1,020.58"
3698 OSLER ST VANCOUVER V6H 2W6,"$11,518,000",8091000.00,3427000.00,1995.00,18701.99,$432.63
1033 BALFOUR AVE VANCOUVER V6H 1X2,"$4,297,000",4086000.00,211000.00,1912.00,15207,$268.69
1020 WOLFE AVE VANCOUVER V6H 1V7,"$6,014,000",5743000.00,271000.00,1976.00,21185.79,$271.08
1072 MATTHEWS AVE VANCOUVER V6H 1W3,"$6,361,000",6157000.00,204000.00,1952.00,16208.56,$379.86
3688 OSLER ST VANCOUVER V6H 2W6,"$20,715,000",11745000.00,8970000.00,2002.00,28089,$418.14
1138 MATTHEWS AVE VANCOUVER V6H 1W4,"$10,427,000",9101000.00,1326000.00,1992.00,21887.955,$415.80
3589 OSLER ST VANCOUVER V6H 2W5,"$14,992,000",8795000.00,6197000.00,2003.00,21109,$416.65
3733 OSLER ST VANCOUVER V6H 2W5,"$10,092,000",7833000.00,2259000.00,1993.00,17408.94,$449.94
3651 OSLER ST VANCOUVER V6H 2W5,"$6,979,000",6796000.00,183000.00,1920.00,19766.92,$343.81
1198 MATTHEWS AVE VANCOUVER V6H 1W4,"$12,294,000",7685000.00,4609000.00,2020.00,15718.83,$488.90
4089 OSLER ST VANCOUVER V6H 2X1,"$4,232,000",3907000.00,325000.00,1912.00,16332,$239.22
1063 KING EDWARD AVE W VANCOUVER V6H 1Z3,"$4,423,100",4336000.00,87100.00,1948.00,19000,$228.21
4050 OSLER ST VANCOUVER V6H 2W9,"$5,937,000",4845000.00,1092000.00,1991.00,19990,$242.37
4089 SELKIRK ST VANCOUVER V6H 2Z5,"$6,596,000",4597000.00,1999000.00,1995.00,19600,$234.54
5151 CYPRESS ST VANCOUVER V6M 4L5,"$4,221,000",3162000.00,1059000.00,1997.00,4788,$660.40
3719 SELKIRK ST VANCOUVER V6H 2Y9,"$19,083,000",9510000.00,9573000.00,2000.00,22927,$414.79
1638 MARPOLE AVE VANCOUVER V6J 2S1,"$8,081,000",5341000.00,2740000.00,1996.00,17115,$312.07
1375 26TH AVE W VANCOUVER V6H 2B2,"$4,927,000",4722000.00,205000.00,1928.00,9375,$503.68
4176 CARTIER ST VANCOUVER V6H 3E1,"$3,744,000",3450000.00,294000.00,1923.00,6250,$552.00
1389 26TH AVE W VANCOUVER V6H 2B2,"$2,688,000",2277000.00,411000.00,2001.00,3125,$728.64
5423 OAK ST VANCOUVER V6M 2V5,"$3,315,000",3275000.00,40000.00,1965.00,9006.4,$363.63
5438 MARGUERITE ST VANCOUVER V6M 3K6,"$8,766,000",6729000.00,2037000.00,1995.00,17500,$384.51
1778 36TH AVE W VANCOUVER V6M 1K2,"$4,215,000",3457000.00,758000.00,1987.00,6000,$576.17
1705 37TH AVE W VANCOUVER V6M 1M9,"$3,894,000",3643000.00,251000.00,1920.00,6622.1518,$550.12
1769 37TH AVE W VANCOUVER V6M 1M9,"$3,875,000",3457000.00,418000.00,1989.00,6000,$576.17
1750 35TH AVE W VANCOUVER V6M 1H3,"$3,830,000",3250000.00,580000.00,1990.00,6000,$541.67
1726 35TH AVE W VANCOUVER V6M 1H3,"$5,149,000",3457000.00,1692000.00,2015.00,6000,$576.17
1718 35TH AVE W VANCOUVER V6M 1H3,"$3,888,000",3457000.00,431000.00,1985.00,6000,$576.17
1727 36TH AVE W VANCOUVER V6M 1K1,"$3,560,000",3457000.00,103000.00,1920.00,6000,$576.17
1751 36TH AVE W VANCOUVER V6M 1K1,"$3,858,000",3457000.00,401000.00,1989.00,6000,$576.17
1775 36TH AVE W VANCOUVER V6M 1K1,"$3,772,000",3457000.00,315000.00,1983.00,6000,$576.17
1828 35TH AVE W VANCOUVER V6M 1H4,"$3,551,300",3457000.00,94300.00,1925.00,6000,$576.17
1810 35TH AVE W VANCOUVER V6M 1H4,"$3,571,000",3457000.00,114000.00,1915.00,6000,$576.17
5137 ANGUS DR VANCOUVER V6M 3M7,"$5,554,000",3409000.00,2145000.00,2018.00,5850,$582.74
1811 36TH AVE W VANCOUVER V6M 1K3,"$4,727,000",3457000.00,1270000.00,1996.00,6000,$576.17
1806 36TH AVE W VANCOUVER V6M 1K4,"$5,269,000",3457000.00,1812000.00,2018.00,6000,$576.17
5237 ANGUS DR VANCOUVER V6M 3M9,"$6,508,000",4257000.00,2251000.00,1922.00,8737.18,$487.23
1815 37TH AVE W VANCOUVER V6M 1N2,"$3,397,000",3284000.00,113000.00,1923.00,6000,$547.33
5289 ANGUS DR VANCOUVER V6M 3M9,"$3,243,000",2905000.00,338000.00,1923.00,6941,$418.53
1832 36TH AVE W VANCOUVER V6M 1K5,"$2,723,500",2654000.00,69500.00,1915.00,3960,$670.20
1897 37TH AVE W VANCOUVER V6M 1N3,"$5,212,000",5202000.00,10000.00,1928.00,8016,$648.95
1877 37TH AVE W VANCOUVER V6M 1N3,"$3,800,000",2654000.00,1146000.00,2012.00,3960,$670.20
1867 37TH AVE W VANCOUVER V6M 1N3,"$2,757,000",2654000.00,103000.00,1925.00,3960,$670.20
1827 37TH AVE W VANCOUVER V6M 1N3,"$4,043,000",2654000.00,1389000.00,2015.00,3960,$670.20
1819 37TH AVE W VANCOUVER V6M 1N3,"$2,675,500",2588000.00,87500.00,1975.00,3768,$686.84
1-1866 36TH AVE W VANCOUVER V6M 1K5,"$3,572,000",3437000.00,135000.00,1912.00,5940,$578.62
1850 36TH AVE W VANCOUVER V6M 1K5,"$4,913,000",3437000.00,1476000.00,2012.00,5940,$578.62
5225 PINE CRES VANCOUVER V6M 0A4,"$4,746,000",3336000.00,1410000.00,2010.00,5646,$590.86
1882 35TH AVE W VANCOUVER V6M 1H6,"$2,890,000",2654000.00,236000.00,1981.00,3960,$670.20
1840 35TH AVE W VANCOUVER V6M 1H6,"$3,050,000",2654000.00,396000.00,1976.00,3960.99,$670.03
5115 PINE CRES VANCOUVER V6M 3P7,"$3,194,000",2654000.00,540000.00,1975.00,3960.66,$670.09
1839 36TH AVE W VANCOUVER V6M 1K6,"$3,068,000",2655000.00,413000.00,2003.00,3964.8,$669.64
1851 36TH AVE W VANCOUVER V6M 1K6,"$2,856,000",2654000.00,202000.00,1978.00,3962.97,$669.70
5058 ANGUS DR VANCOUVER V6M 3M5,"$3,718,000",3489000.00,229000.00,1923.00,6100,$571.97
5091 MARGUERITE ST VANCOUVER V6M 3J9,"$5,680,000",3789000.00,1891000.00,2007.00,7153.72,$529.65
5057 MARGUERITE ST VANCOUVER V6M 3J9,"$3,984,000",3510000.00,474000.00,1928.00,6167,$569.16
5076 PINE CRES VANCOUVER V6M 3P6,"$3,609,600",3523000.00,86600.00,1925.00,6876.65,$512.31
5075 ANGUS DR VANCOUVER V6M 3M6,"$4,066,000",3510000.00,556000.00,1925.00,6820,$514.66
1986 35TH AVE W VANCOUVER V6M 1H7,"$3,559,000",3438000.00,121000.00,1914.00,6000,$573.00
1980 35TH AVE W VANCOUVER V6M 1H7,"$3,841,000",3619000.00,222000.00,1914.00,6000,$603.17
1936 35TH AVE W VANCOUVER V6M 1H7,"$3,945,000",3619000.00,326000.00,1925.00,6000,$603.17
1928 35TH AVE W VANCOUVER V6M 1H7,"$4,666,000",3619000.00,1047000.00,1996.00,6000,$603.17
1908 35TH AVE W VANCOUVER V6M 1H7,"$4,344,000",3619000.00,725000.00,1992.00,6000,$603.17
1949 36TH AVE W VANCOUVER V6M 1K7,"$5,335,000",3619000.00,1716000.00,2015.00,6000,$603.17
1957 36TH AVE W VANCOUVER V6M 1K7,"$4,227,000",3619000.00,608000.00,1990.00,6000,$603.17
1971 36TH AVE W VANCOUVER V6M 1K7,"$3,839,000",3619000.00,220000.00,1910.00,6000,$603.17
1979 36TH AVE W VANCOUVER V6M 1K7,"$4,051,000",3619000.00,432000.00,1925.00,6000,$603.17
1988 36TH AVE W VANCOUVER V6M 1K8,"$4,131,000",3619000.00,512000.00,1992.00,6000,$603.17
1962 36TH AVE W VANCOUVER V6M 1K8,"$4,278,000",3619000.00,659000.00,1988.00,6000,$603.17
1950 36TH AVE W VANCOUVER V6M 1K8,"$4,212,000",3619000.00,593000.00,1987.00,6000,$603.17
1919 37TH AVE W VANCOUVER V6M 1N5,"$4,299,000",3619000.00,680000.00,1981.00,6000,$603.17
1963 37TH AVE W VANCOUVER V6M 1N5,"$3,729,000",3438000.00,291000.00,1923.00,6000,$573.00
5211 CYPRESS ST VANCOUVER V6M 4M8,"$4,225,000",3162000.00,1063000.00,2003.00,4788,$660.40
5138 MAPLE ST VANCOUVER V6M 3T3,"$3,902,000",3619000.00,283000.00,1914.00,6000,$603.17
5188 MAPLE ST VANCOUVER V6M 3T3,"$5,152,000",3337000.00,1815000.00,2009.00,5207.83,$640.77
2012 35TH AVE W VANCOUVER V6M 1H9,"$4,450,000",3619000.00,831000.00,1996.00,6000,$603.17
5201 MAPLE ST VANCOUVER V6M 4K3,"$4,208,000",3808000.00,400000.00,1915.00,6604.4,$576.59
5225 MAPLE ST VANCOUVER V6M 4K3,"$3,882,000",3438000.00,444000.00,1987.00,6000,$573.00
1971 35TH AVE W VANCOUVER V6M 1H8,"$5,409,000",4595000.00,814000.00,1997.00,6171,$744.61
1775 40TH AVE W VANCOUVER V6M 1W3,"$7,332,000",6882000.00,450000.00,1927.00,18705.75,$367.91
1757 40TH AVE W VANCOUVER V6M 1W3,"$12,252,000",6842000.00,5410000.00,2004.00,18375,$372.35
1703 40TH AVE W VANCOUVER V6M 1W3,"$7,053,000",6885000.00,168000.00,1936.00,18725,$367.69
1738 38TH AVE W VANCOUVER V6M 1R6,"$12,511,000",6842000.00,5669000.00,1995.00,18375,$372.35
5516 LABURNUM ST VANCOUVER V6M 3S8,"$4,299,000",4084000.00,215000.00,1926.00,9760,$418.44
5515 CYPRESS ST VANCOUVER V6M 3R5,"$4,616,000",4324000.00,292000.00,1929.00,9760,$443.03
5516 MAPLE ST VANCOUVER V6M 3T7,"$5,919,000",4130000.00,1789000.00,2006.00,10032,$411.68
5337 CYPRESS ST VANCOUVER V6M 3R3,"$4,882,000",4280000.00,602000.00,1926.00,9528.2,$449.19
5415 CYPRESS ST VANCOUVER V6M 3R3,"$4,401,000",4278000.00,123000.00,1927.00,9516,$449.56
5463 CYPRESS ST VANCOUVER V6M 3R3,"$4,433,000",4278000.00,155000.00,1927.00,9516,$449.56
5362 LABURNUM ST VANCOUVER V6M 3S6,"$4,095,300",4040000.00,55300.00,1927.00,9516,$424.55
1878 37TH AVE W VANCOUVER V6M 1N4,"$4,131,900",4076000.00,55900.00,1951.00,10000,$407.60
5357 ANGUS DR VANCOUVER V6M 3N3,"$6,918,000",5156000.00,1762000.00,1996.00,14726.785,$350.11
5391 ANGUS DR VANCOUVER V6M 3N3,"$5,027,000",4882000.00,145000.00,1937.00,12825,$380.66
1875 39TH AVE W VANCOUVER V6M 1T4,"$4,673,000",4472000.00,201000.00,1935.00,10627.5,$420.80
5338 CYPRESS ST VANCOUVER V6M 3R4,"$4,613,000",4471000.00,142000.00,1938.00,10608.425,$421.46
5326 ANGUS DR VANCOUVER V6M 3N2,"$11,499,000",5766000.00,5733000.00,2009.00,14997.75,$384.46
1768 37TH AVE W VANCOUVER V6M 1N1,"$6,703,000",5651000.00,1052000.00,1991.00,12600,$448.49
1722 37TH AVE W VANCOUVER V6M 1N1,"$8,049,000",5651000.00,2398000.00,2014.00,12600,$448.49
1707 38TH AVE W VANCOUVER V6M 1R7,"$14,286,000",6133000.00,8153000.00,2013.00,17625,$347.97
2003 35TH AVE W VANCOUVER V6M 1J1,"$4,449,000",4105000.00,344000.00,1915.00,5090.65,$806.38
5610 ANGUS DR VANCOUVER V6M 3N6,"$7,499,000",6917000.00,582000.00,1928.00,19000,$364.05
5630 ANGUS DR VANCOUVER V6M 3N6,"$7,705,000",6917000.00,788000.00,1929.00,19000,$364.05
1775 41ST AVE W VANCOUVER V6M 1Y1,"$4,283,000",4165000.00,118000.00,1948.00,15939.1,$261.31
5550 CYPRESS ST VANCOUVER V6M 3R6,"$4,779,000",4513000.00,266000.00,1928.00,10900,$414.04
5638 CYPRESS ST VANCOUVER V6M 3R6,"$5,227,000",4406000.00,821000.00,1926.00,10218.75,$431.17
1849 41ST AVE W VANCOUVER V6M 1Y2,"$3,097,600",3026000.00,71600.00,1928.00,9750,$310.36
5550 LABURNUM ST VANCOUVER V6M 3S8,"$4,552,000",4324000.00,228000.00,1927.00,9760,$443.03
1923 41ST AVE W VANCOUVER V6M 1Y5,"$3,478,000",3171000.00,307000.00,1931.00,11000,$288.27
5611 CYPRESS ST VANCOUVER V6M 3R5,"$4,567,000",4204000.00,363000.00,1927.00,9150,$459.45
5584 MAPLE ST VANCOUVER V6M 3T7,"$4,294,000",4152000.00,142000.00,1932.00,10164,$408.50
5612 MAPLE ST VANCOUVER V6M 3T7,"$5,357,000",4152000.00,1205000.00,1946.00,10164,$408.50
5612 MAPLE ST VANCOUVER V6M 3T7,"$5,357,000",4152000.00,1205000.00,1946.00,10164,$408.50
5300 MAPLE ST VANCOUVER V6M 3T6,"$77,568,000",75146000.00,2422000.00,1925.00,214703,$350.00
2020 35TH AVE W VANCOUVER V6M 1H9,"$3,766,000",3619000.00,147000.00,1915.00,6000,$603.17
2042 36TH AVE W VANCOUVER V6M 1K9,"$3,676,900",3619000.00,57900.00,1920.00,6000,$603.17
2028 36TH AVE W VANCOUVER V6M 1K9,"$3,863,000",3619000.00,244000.00,1915.00,6000,$603.17
2049 37TH AVE W VANCOUVER V6M 1N7,"$4,460,000",3438000.00,1022000.00,2003.00,6000,$573.00
2035 36TH AVE W VANCOUVER V6M 1L1,"$3,627,000",3398000.00,229000.00,1971.00,5404.5,$628.74
2021 35TH AVE W VANCOUVER V6M 1J1,"$6,423,000",3941000.00,2482000.00,1985.00,5090.65,$774.16
2063 41ST AVE W VANCOUVER V6M 1Y7,"$3,167,800",3164000.00,3800.00,1947.00,3050,"$1,037.38"
2053 41ST AVE W VANCOUVER V6M 1Y7,"$6,334,500",6328000.00,6500.00,1947.00,6100,"$1,037.38"
2021 41ST AVE W VANCOUVER V6M 1Y7,"$6,910,000",6328000.00,582000.00,1949.00,6100,"$1,037.38"
2057 36TH AVE W VANCOUVER V6M 1L1,"$3,928,000",3438000.00,490000.00,1988.00,6000,$573.00
2080 36TH AVE W VANCOUVER V6M 1K9,"$3,898,000",3438000.00,460000.00,1915.00,6000,$573.00
2071 37TH AVE W VANCOUVER V6M 1N7,"$3,170,600",3076000.00,94600.00,1927.00,6000,$512.67
5284 EAST BOULEVARD VANCOUVER V6M 3V1,"$3,143,700",3080000.00,63700.00,1944.00,5478,$562.25
5294 EAST BOULEVARD VANCOUVER V6M 3V1,"$3,143,300",3080000.00,63300.00,1944.00,5478,$562.25
5220 EAST BOULEVARD VANCOUVER V6M 3V1,"$3,385,000",3080000.00,305000.00,1936.00,5478,$562.25
4211 MARGUERITE ST VANCOUVER V6J 4G2,"$5,168,000",4470000.00,698000.00,1989.00,9298.5,$480.72
